BranchCode,ServiceCode,TicketPrefix,DefaultAvgServiceMinutes,EntryType,EnqueueSequence,CheckedIn,SlotActive,CallNextPriority,QueueLength,CrossLaneQueueLength,PeopleAheadCallNext,ActiveCounters,ListeningCounters,HourOfDay,DayOfWeek,IsPeakHour,WaitingMinutes
101012,ONLINE_SUP,J,12,1,1,1,0,1,5,8,4,2,1,16,4,1,67.94
101012,DEPOSIT,A,6,1,8,1,0,1,5,12,2,2,1,16,2,1,19.92
101012,ONLINE_SUP,J,12,0,9,0,0,1,7,28,1,3,1,11,5,1,15.9
101033,FIXED_DEP,G,15,1,1,1,0,1,3,20,1,5,1,9,3,1,31.59
101045,LOAN,B,30,1,3,1,0,1,3,8,2,2,1,15,1,1,37.39
101012,CUST_SVC,E,10,1,5,1,0,1,7,14,10,3,2,16,4,1,61.54
101012,CUST_SVC,E,10,1,3,1,0,1,3,13,5,2,1,10,2,1,34.36
101078,CUST_SVC,E,10,1,5,1,0,1,2,5,2,2,1,12,3,0,37.13
101012,ATM_CDM,F,8,1,4,1,0,1,3,12,4,2,1,13,1,0,61.08
101033,INSURANCE,H,20,1,2,1,0,1,1,2,0,2,1,12,3,0,0.78
101056,DEPOSIT,A,6,1,3,1,0,1,1,7,0,3,2,16,3,1,0.0
101056,DEPOSIT,A,6,0,6,1,1,0,2,4,0,2,1,12,4,0,0.06
101056,CUST_SVC,E,10,0,2,1,0,1,2,21,2,5,2,10,2,1,22.95
101012,LOAN,B,30,1,2,1,0,1,1,10,3,3,1,12,3,0,20.75
101056,ONLINE_SUP,J,12,1,1,1,0,1,1,7,2,2,1,14,1,1,48.45
101056,CREDIT_CARD,C,12,0,7,1,1,0,3,27,1,4,1,15,1,1,16.27
101078,CREDIT_CARD,C,12,1,7,1,0,1,4,8,5,2,1,11,1,1,90.0
101045,CUST_SVC,E,10,0,5,1,0,1,2,8,5,4,2,10,2,1,27.91
101012,REMITTANCE,K,10,1,7,1,0,1,4,10,2,2,1,16,4,1,16.02
101056,DEPOSIT,A,6,0,1,0,0,1,5,29,2,5,3,15,2,1,12.8
101056,ATM_CDM,F,8,1,2,1,0,1,3,20,5,2,1,11,1,1,37.3
101033,CUST_SVC,E,10,0,5,1,0,1,3,17,5,5,2,11,2,1,43.39
101012,CREDIT_CARD,C,12,1,4,1,0,1,3,16,7,3,1,10,3,1,61.8
101033,ONLINE_SUP,J,12,1,6,1,0,1,5,12,3,2,1,15,5,1,28.25
101033,ACC_OPEN,D,25,0,3,1,1,0,11,9,1,2,1,9,5,1,15.94
101033,INSURANCE,H,20,1,3,1,0,1,3,8,4,4,1,12,5,0,90.0
101033,CUST_SVC,E,10,0,3,1,0,1,3,23,3,4,1,10,1,1,23.1
101056,CUST_SVC,E,10,1,2,1,0,1,3,10,2,4,2,13,2,0,10.92
101033,LOAN,B,30,1,3,1,0,1,3,21,7,4,1,9,5,1,90.0
101033,BIZ_BANK,I,18,0,1,1,0,1,2,15,0,5,1,11,4,1,0.4
101078,DEPOSIT,A,6,1,7,1,0,1,5,15,4,3,2,9,1,1,25.58
101056,DEPOSIT,A,6,1,2,1,0,1,1,18,3,5,3,15,2,1,15.72
101033,LOAN,B,30,0,5,1,1,0,4,8,2,2,1,16,2,1,32.68
101056,WITHDRAW,A,5,1,7,1,0,1,3,5,2,2,2,12,2,0,11.09
101012,DEPOSIT,A,6,1,3,1,0,1,2,13,1,3,2,9,3,1,3.1
101033,FIXED_DEP,G,15,0,7,1,0,1,3,4,0,2,1,13,5,0,0.0
101045,DEPOSIT,A,6,1,1,1,0,1,1,11,5,5,3,11,4,1,23.65
101056,CUST_SVC,E,10,0,5,1,0,1,3,25,7,3,1,14,3,1,90.0
101045,ATM_CDM,F,8,1,3,1,0,1,1,6,3,2,1,15,5,1,41.91
101033,FIXED_DEP,G,15,1,4,1,0,1,2,11,4,3,1,15,5,1,90.0
101056,INSURANCE,H,20,0,1,1,0,1,4,10,3,2,1,16,1,1,45.93
101012,DEPOSIT,A,6,1,8,1,0,1,5,26,3,4,2,14,2,1,14.91
101045,BIZ_BANK,I,18,1,6,1,0,1,2,12,3,4,1,15,4,1,43.13
101078,ATM_CDM,F,8,1,7,1,0,1,3,14,0,4,1,14,3,1,0.61
101033,LOAN,B,30,1,5,1,0,1,1,18,3,5,2,11,2,1,21.92
101078,DEPOSIT,A,6,1,5,1,0,1,3,22,6,5,3,9,2,1,27.99
101045,INSURANCE,H,20,1,1,1,0,1,1,5,1,2,1,13,1,0,8.12
101045,REMITTANCE,K,10,0,2,1,0,1,1,7,1,5,1,16,2,1,13.82
101012,ATM_CDM,F,8,1,3,1,0,1,6,15,3,2,1,16,1,1,77.85
101033,FIXED_DEP,G,15,0,2,1,1,0,4,14,4,4,1,9,4,1,80.73
101012,INSURANCE,H,20,0,2,1,0,1,6,9,0,5,1,15,3,1,0.24
101045,FIXED_DEP,G,15,1,4,1,0,1,6,15,4,3,1,11,1,1,86.46
101045,CUST_SVC,E,10,1,4,1,0,1,1,13,2,4,1,14,3,1,14.04
101056,DEPOSIT,A,6,0,5,1,0,1,6,31,1,5,3,14,2,1,3.45
101056,INSURANCE,H,20,1,1,1,0,1,5,20,4,4,1,14,2,1,73.91
101012,ATM_CDM,F,8,0,16,1,0,1,12,50,14,5,1,11,1,1,90.0
101033,ACC_OPEN,D,25,1,3,1,0,1,5,15,2,5,1,16,4,1,65.5
101033,FIXED_DEP,G,15,1,1,1,0,1,1,15,6,2,1,15,2,1,90.0
101078,INSURANCE,H,20,1,2,1,0,1,6,27,9,6,1,10,5,1,90.0
101078,BIZ_BANK,I,18,1,5,1,0,1,2,10,3,3,1,15,3,1,75.83
101056,INSURANCE,H,20,1,2,1,0,1,3,6,3,2,1,16,3,1,35.25
101078,ATM_CDM,F,8,1,5,1,0,1,1,13,2,3,1,14,1,1,37.51
101033,LOAN,B,30,1,3,1,0,1,4,25,3,5,1,15,3,1,43.57
101033,DEPOSIT,A,6,1,1,1,0,1,4,12,1,4,2,15,2,1,8.19
101012,LOAN,B,30,1,2,1,0,1,3,15,7,3,1,13,5,0,90.0
101078,CUST_SVC,E,10,0,6,1,0,1,3,21,7,6,2,9,2,1,48.03
101056,DEPOSIT,A,6,1,2,1,0,1,1,22,1,2,1,14,1,1,5.15
101056,ACC_OPEN,D,25,1,3,1,0,1,4,5,2,3,1,13,1,0,24.27
101045,CUST_SVC,E,10,0,5,1,0,1,1,13,3,4,2,15,2,1,28.41
101045,FIXED_DEP,G,15,0,6,1,1,0,3,21,1,6,1,10,5,1,14.35
101078,BIZ_BANK,I,18,0,5,1,0,1,4,15,1,5,1,9,4,1,5.89
101033,REMITTANCE,K,10,0,4,1,0,1,2,35,5,6,1,10,1,1,75.09
101045,CUST_SVC,E,10,0,7,1,0,1,3,9,7,3,1,14,3,1,90.0
101033,REMITTANCE,K,10,0,5,1,1,0,2,13,0,2,1,16,2,1,0.52
101078,DEPOSIT,A,6,1,1,1,0,1,2,8,4,4,3,14,4,1,22.84
101045,FIXED_DEP,G,15,1,1,1,0,1,2,15,2,4,1,15,5,1,57.86
101056,LOAN,B,30,1,1,1,0,1,2,5,1,2,2,12,5,0,3.14
101078,ATM_CDM,F,8,1,9,1,0,1,6,6,1,2,1,16,1,1,15.17
101045,REMITTANCE,K,10,0,6,1,0,1,3,18,3,6,1,14,5,1,38.1
101078,ONLINE_SUP,J,12,0,4,1,1,0,4,5,2,3,1,12,1,0,8.48
101012,CREDIT_CARD,C,12,0,2,1,0,1,1,7,0,2,2,12,5,0,0.0
101056,CREDIT_CARD,C,12,0,3,0,0,1,4,22,1,5,2,10,1,1,17.21
101045,ATM_CDM,F,8,1,4,1,0,1,2,16,3,5,1,9,3,1,20.8
101056,ATM_CDM,F,8,1,6,1,0,1,2,19,2,5,1,16,2,1,11.42
101078,LOAN,B,30,1,2,1,0,1,1,5,0,3,2,13,4,0,1.3
101012,WITHDRAW,A,5,1,11,1,0,1,7,20,10,5,3,14,3,1,35.14
101056,CREDIT_CARD,C,12,1,3,1,0,1,3,8,1,2,1,13,4,0,13.2
101078,WITHDRAW,A,5,0,4,1,1,0,6,16,3,3,2,16,1,1,11.14
101056,BIZ_BANK,I,18,0,6,1,1,0,7,23,1,6,1,14,1,1,15.47
101078,REMITTANCE,K,10,0,1,1,0,1,5,27,12,5,1,11,1,1,90.0
101045,CUST_SVC,E,10,1,1,1,0,1,2,6,4,2,1,9,5,1,90.0
101056,CUST_SVC,E,10,0,2,1,1,0,1,8,1,3,1,13,4,0,1.52
101012,BIZ_BANK,I,18,1,4,1,0,1,4,41,2,6,1,14,1,1,27.51
101056,WITHDRAW,A,5,0,4,1,1,0,4,25,2,4,1,14,1,1,26.05
101045,DEPOSIT,A,6,0,7,1,1,0,3,14,2,4,3,14,3,1,7.46
101012,BIZ_BANK,I,18,0,5,1,1,0,6,21,2,2,1,10,1,1,25.73
101012,REMITTANCE,K,10,1,6,1,0,1,5,31,3,6,1,10,2,1,31.74
101078,DEPOSIT,A,6,1,1,1,0,1,1,26,2,4,3,10,3,1,18.68
101056,INSURANCE,H,20,1,3,1,0,1,3,7,2,2,1,9,4,1,44.4
101045,CREDIT_CARD,C,12,0,10,1,0,1,6,11,3,4,1,11,5,1,43.39
101056,CUST_SVC,E,10,0,2,1,0,1,1,10,3,3,1,16,2,1,62.69
101033,LOAN,B,30,1,1,1,0,1,1,5,1,3,1,12,1,0,5.51
101045,BIZ_BANK,I,18,1,5,1,0,1,1,7,3,2,1,12,3,0,26.02
101045,CUST_SVC,E,10,1,3,1,0,1,2,17,0,6,2,14,1,1,0.11
101078,DEPOSIT,A,6,1,4,1,0,1,1,15,2,6,3,14,5,1,12.46
101033,DEPOSIT,A,6,0,2,1,1,0,2,14,1,4,2,9,1,1,3.99
101056,ATM_CDM,F,8,1,1,1,0,1,3,13,4,3,1,10,2,1,29.49
101033,FIXED_DEP,G,15,1,5,1,0,1,3,16,1,4,1,11,2,1,28.8
101056,CUST_SVC,E,10,1,5,1,0,1,1,15,0,3,1,9,5,1,0.0
101078,CREDIT_CARD,C,12,1,5,1,0,1,9,20,11,3,2,10,1,1,90.0
101045,LOAN,B,30,1,4,1,0,1,2,7,5,3,2,14,1,1,40.19
101012,DEPOSIT,A,6,1,2,1,0,1,1,6,0,3,2,13,4,0,0.0
101012,ATM_CDM,F,8,0,6,1,1,0,4,19,1,5,1,14,3,1,5.79
101056,ACC_OPEN,D,25,0,1,0,0,1,5,22,10,6,1,9,3,1,90.0
101045,CUST_SVC,E,10,1,6,1,0,1,2,13,4,5,1,15,2,1,42.87
101045,CUST_SVC,E,10,1,5,1,0,1,1,21,1,5,2,11,4,1,5.49
101045,WITHDRAW,A,5,0,10,1,0,1,6,23,14,6,3,10,4,1,65.49
101033,CUST_SVC,E,10,1,7,1,0,1,7,39,13,4,1,10,1,1,90.0
101056,BIZ_BANK,I,18,0,3,1,1,0,1,7,2,2,1,13,1,0,2.73
101033,ONLINE_SUP,J,12,0,3,1,0,1,3,5,2,2,1,16,5,1,33.58
101078,LOAN,B,30,1,4,1,0,1,1,5,0,2,1,13,3,0,0.1
101056,CUST_SVC,E,10,1,8,1,0,1,4,30,13,6,2,10,1,1,90.0
101056,ACC_OPEN,D,25,0,3,1,0,1,3,6,1,3,1,12,5,0,14.5
101012,LOAN,B,30,1,6,1,0,1,3,33,9,6,2,10,1,1,90.0
101045,CREDIT_CARD,C,12,1,5,1,0,1,2,25,6,5,1,15,2,1,90.0
101033,ONLINE_SUP,J,12,0,3,1,0,1,2,7,3,2,1,16,4,1,45.27
101045,BIZ_BANK,I,18,0,3,1,0,1,1,10,0,3,1,9,5,1,0.94
101033,WITHDRAW,A,5,1,5,1,0,1,1,4,1,2,2,13,4,0,16.23
101056,CREDIT_CARD,C,12,1,2,1,0,1,9,16,11,2,1,15,1,1,90.0
101033,DEPOSIT,A,6,1,3,1,0,1,1,8,0,3,1,13,1,0,0.73
101056,BIZ_BANK,I,18,1,1,1,0,1,2,5,1,2,1,13,3,0,25.44
101056,FIXED_DEP,G,15,1,11,1,0,1,7,9,2,2,1,15,2,1,18.61
101012,BIZ_BANK,I,18,1,4,1,0,1,3,32,6,5,1,14,2,1,90.0
101045,ACC_OPEN,D,25,1,5,1,0,1,2,2,1,2,1,13,3,0,12.66
101045,LOAN,B,30,1,3,1,0,1,1,0,0,2,1,12,2,0,1.66
101012,CUST_SVC,E,10,1,5,1,0,1,4,27,6,4,1,11,1,1,48.9
101045,CUST_SVC,E,10,1,6,1,0,1,2,11,5,5,2,14,4,1,45.34
101033,ACC_OPEN,D,25,1,2,1,0,1,1,5,2,5,1,13,3,0,35.34
101056,CREDIT_CARD,C,12,1,5,1,0,1,4,17,6,4,2,9,1,1,68.0
101012,LOAN,B,30,0,6,1,0,1,9,18,1,2,1,9,1,1,11.45
101056,WITHDRAW,A,5,1,5,1,0,1,1,8,0,2,1,16,3,1,0.11
101078,CUST_SVC,E,10,0,3,1,1,0,5,9,1,3,2,15,1,1,6.85
101033,INSURANCE,H,20,1,6,1,0,1,3,4,0,2,1,13,1,0,1.3
101012,CREDIT_CARD,C,12,1,6,1,0,1,11,32,10,4,2,10,2,1,56.18
101056,DEPOSIT,A,6,1,1,1,0,1,2,5,5,2,1,13,1,0,65.89
101078,ACC_OPEN,D,25,0,2,1,1,0,4,8,1,4,1,16,3,1,42.82
101078,ATM_CDM,F,8,0,2,1,1,0,2,14,1,5,1,9,1,1,12.22
101033,REMITTANCE,K,10,1,1,1,0,1,2,6,2,2,1,13,1,0,38.06
101033,INSURANCE,H,20,1,4,1,0,1,4,24,8,6,1,9,4,1,90.0
101078,ONLINE_SUP,J,12,1,7,1,0,1,5,17,6,4,1,9,5,1,69.44
101012,CUST_SVC,E,10,0,8,0,0,1,6,17,10,2,1,14,2,1,90.0
101078,ACC_OPEN,D,25,0,3,1,1,0,1,2,0,2,1,13,3,0,0.0
101033,CUST_SVC,E,10,1,2,1,0,1,3,18,3,3,2,14,5,1,12.24
101056,REMITTANCE,K,10,0,4,1,1,0,1,19,0,6,1,14,2,1,0.0
101045,REMITTANCE,K,10,0,2,1,0,1,1,4,1,5,1,13,3,0,5.27
101078,LOAN,B,30,1,10,1,0,1,9,22,13,4,1,10,3,1,90.0
101012,DEPOSIT,A,6,0,8,1,1,0,8,39,6,5,2,10,1,1,27.36
101033,REMITTANCE,K,10,0,1,1,1,0,4,14,2,2,1,10,2,1,17.16
101012,ATM_CDM,F,8,1,4,1,0,1,9,30,3,5,1,15,1,1,65.89
101045,WITHDRAW,A,5,1,3,1,0,1,1,24,4,6,3,9,5,1,34.06
101078,ACC_OPEN,D,25,0,5,1,0,1,6,28,8,4,1,15,1,1,90.0
101045,DEPOSIT,A,6,1,2,1,0,1,1,8,0,5,2,13,2,0,0.04
101078,DEPOSIT,A,6,1,6,1,0,1,3,11,2,3,1,14,3,1,18.1
101056,ACC_OPEN,D,25,0,7,1,0,1,3,17,2,3,1,16,5,1,42.41
101012,ACC_OPEN,D,25,0,2,1,0,1,3,14,2,3,1,14,3,1,51.14
101012,LOAN,B,30,0,2,1,0,1,8,19,13,2,1,16,1,1,90.0
101056,CREDIT_CARD,C,12,1,2,1,0,1,1,4,1,2,2,12,1,0,4.87
101033,DEPOSIT,A,6,1,1,1,0,1,3,14,2,2,1,16,5,1,18.31
101045,CUST_SVC,E,10,1,1,1,0,1,1,8,2,4,1,16,3,1,19.47
101012,ONLINE_SUP,J,12,0,2,1,0,1,7,18,11,2,1,9,2,1,90.0
101012,CREDIT_CARD,C,12,0,4,0,0,1,5,24,9,5,1,11,5,1,90.0
101056,LOAN,B,30,0,4,1,0,1,4,28,1,3,1,15,1,1,10.75
101078,BIZ_BANK,I,18,0,4,1,0,1,1,6,2,2,1,13,5,0,34.68
101078,DEPOSIT,A,6,1,4,1,0,1,4,6,1,2,1,13,2,0,11.63
101012,CUST_SVC,E,10,0,1,0,0,1,9,36,20,5,2,11,5,1,90.0
101012,CREDIT_CARD,C,12,1,7,1,0,1,4,25,12,3,1,10,5,1,90.0
101033,ACC_OPEN,D,25,0,1,1,1,0,2,20,1,5,1,10,3,1,21.99
101045,INSURANCE,H,20,1,5,1,0,1,1,9,1,4,1,11,5,1,7.19
101033,ACC_OPEN,D,25,1,2,1,0,1,6,11,2,3,1,11,2,1,25.21
101078,CREDIT_CARD,C,12,0,3,1,0,1,3,13,3,3,1,14,4,1,54.21
101078,REMITTANCE,K,10,0,4,1,0,1,2,14,0,5,1,13,5,0,1.01
101056,LOAN,B,30,1,4,1,0,1,1,7,2,3,1,13,2,0,22.27
101078,WITHDRAW,A,5,0,1,1,1,0,1,8,1,2,1,16,3,1,2.24
101078,LOAN,B,30,1,7,1,0,1,3,4,1,2,1,16,3,1,15.4
101078,FIXED_DEP,G,15,0,1,1,0,1,4,11,2,3,1,15,5,1,43.93
101012,DEPOSIT,A,6,1,13,1,0,1,10,23,13,4,2,10,1,1,90.0
101056,ONLINE_SUP,J,12,1,6,1,0,1,4,29,8,5,1,15,2,1,90.0
101056,ATM_CDM,F,8,1,9,1,0,1,8,22,9,3,1,15,5,1,77.18
101033,DEPOSIT,A,6,0,6,1,0,1,3,32,5,4,1,10,1,1,61.54
101078,CUST_SVC,E,10,1,6,1,0,1,2,15,0,6,2,15,4,1,0.0
101056,LOAN,B,30,0,2,1,0,1,1,7,1,4,1,12,2,0,9.51
101078,ATM_CDM,F,8,0,1,1,0,1,4,12,4,4,1,14,1,1,30.2
101012,CREDIT_CARD,C,12,1,1,1,0,1,5,10,8,3,2,12,1,0,59.13
101056,ACC_OPEN,D,25,0,6,1,1,0,3,19,0,6,1,9,2,1,0.44
101012,WITHDRAW,A,5,1,2,1,0,1,7,28,19,5,3,14,1,1,76.41
101033,DEPOSIT,A,6,1,6,1,0,1,2,22,0,5,2,15,3,1,1.79
101078,WITHDRAW,A,5,0,4,1,0,1,1,9,2,5,3,15,3,1,8.54
101078,ONLINE_SUP,J,12,0,11,1,1,0,8,21,0,4,1,10,1,1,0.1
101045,LOAN,B,30,1,3,1,0,1,4,5,2,2,1,16,3,1,16.87
101056,FIXED_DEP,G,15,0,1,1,0,1,5,9,4,2,1,16,5,1,86.27
101033,REMITTANCE,K,10,1,6,1,0,1,4,8,1,2,1,13,2,0,15.68
101056,CREDIT_CARD,C,12,1,2,1,0,1,1,9,2,2,1,11,4,1,82.86
101056,FIXED_DEP,G,15,0,6,1,0,1,2,12,1,4,1,13,5,0,5.12
101056,REMITTANCE,K,10,0,7,1,0,1,4,21,5,3,1,10,1,1,90.0
101078,INSURANCE,H,20,1,5,1,0,1,4,3,1,2,1,12,3,0,5.13
101078,WITHDRAW,A,5,1,2,1,0,1,3,11,3,3,1,15,2,1,20.78
101045,LOAN,B,30,1,1,1,0,1,2,16,2,6,2,11,3,1,26.64
101012,ACC_OPEN,D,25,0,4,1,1,0,3,21,1,6,1,11,4,1,25.52
101012,REMITTANCE,K,10,0,2,1,1,0,3,11,1,4,1,12,3,0,11.03
101078,ACC_OPEN,D,25,0,4,1,0,1,1,11,1,3,1,16,3,1,15.82
101045,REMITTANCE,K,10,1,4,1,0,1,1,6,1,2,1,16,2,1,18.15
101033,ONLINE_SUP,J,12,0,5,1,1,0,4,14,0,4,1,14,2,1,0.0
101056,DEPOSIT,A,6,1,3,1,0,1,3,26,3,4,1,9,5,1,25.18
101045,FIXED_DEP,G,15,0,3,1,1,0,3,1,0,2,1,13,1,0,0.48
101056,CUST_SVC,E,10,0,7,1,1,0,4,37,1,6,2,15,1,1,6.29
101056,CREDIT_CARD,C,12,1,1,1,0,1,6,5,1,2,1,16,4,1,8.94
101078,ONLINE_SUP,J,12,0,1,1,0,1,3,6,1,3,1,10,4,1,19.55
101012,DEPOSIT,A,6,0,5,1,0,1,1,9,2,2,1,12,1,0,16.43
101033,INSURANCE,H,20,1,3,1,0,1,4,27,9,5,1,11,5,1,90.0
101012,DEPOSIT,A,6,1,8,1,0,1,4,22,5,5,3,14,2,1,26.16
101078,ACC_OPEN,D,25,1,5,1,0,1,4,32,7,6,1,9,1,1,90.0
101045,BIZ_BANK,I,18,1,3,1,0,1,3,19,3,4,1,11,5,1,54.43
101056,LOAN,B,30,1,1,1,0,1,2,8,2,2,1,12,3,0,40.68
101056,INSURANCE,H,20,0,5,1,0,1,3,8,0,2,1,16,5,1,0.0
101045,CREDIT_CARD,C,12,1,2,1,0,1,1,6,2,2,1,13,2,0,22.42
101045,CUST_SVC,E,10,0,2,1,1,0,3,9,1,2,1,16,2,1,13.85
101033,FIXED_DEP,G,15,1,1,1,0,1,2,9,3,4,1,12,1,0,25.17
101056,CUST_SVC,E,10,1,3,1,0,1,2,5,2,3,2,12,5,0,16.51
101012,ACC_OPEN,D,25,1,10,1,0,1,7,12,3,3,1,9,2,1,48.33
101078,REMITTANCE,K,10,1,1,1,0,1,1,14,2,2,1,15,5,1,20.73
101078,ACC_OPEN,D,25,0,6,1,1,0,7,15,1,5,1,9,5,1,50.32
101056,ATM_CDM,F,8,1,8,1,0,1,4,12,2,3,1,15,2,1,18.3
101045,LOAN,B,30,1,3,1,0,1,1,11,3,4,2,9,5,1,22.1
101056,LOAN,B,30,1,2,1,0,1,3,17,3,5,2,11,3,1,43.62
101045,BIZ_BANK,I,18,1,4,1,0,1,3,14,4,4,1,14,3,1,39.73
101078,FIXED_DEP,G,15,0,5,1,1,0,2,9,1,2,1,13,5,0,14.11
101078,CREDIT_CARD,C,12,1,7,1,0,1,3,7,4,2,1,13,1,0,90.0
101045,DEPOSIT,A,6,0,5,1,0,1,2,13,0,5,2,11,4,1,0.0
101033,DEPOSIT,A,6,1,4,1,0,1,3,14,0,4,2,15,1,1,0.0
101033,LOAN,B,30,1,5,1,0,1,3,15,3,2,1,16,5,1,57.02
101033,REMITTANCE,K,10,0,2,1,0,1,2,22,0,6,1,11,5,1,0.0
101045,CUST_SVC,E,10,0,6,1,0,1,2,8,0,5,2,15,2,1,0.96
101056,LOAN,B,30,0,4,1,0,1,3,21,5,4,1,10,4,1,71.67
101012,BIZ_BANK,I,18,1,4,1,0,1,2,20,5,2,1,15,1,1,90.0
101012,BIZ_BANK,I,18,1,12,1,0,1,10,26,1,4,1,15,3,1,17.57
101033,CREDIT_CARD,C,12,1,2,1,0,1,2,7,1,3,1,13,5,0,9.76
101045,INSURANCE,H,20,1,4,1,0,1,1,6,2,2,1,16,3,1,59.59
101012,BIZ_BANK,I,18,0,4,1,0,1,1,4,1,2,1,12,2,0,9.48
101056,ACC_OPEN,D,25,1,1,1,0,1,5,31,11,5,1,10,1,1,90.0
101056,DEPOSIT,A,6,1,4,1,0,1,3,29,6,5,2,15,3,1,34.74
101056,FIXED_DEP,G,15,0,2,0,0,1,1,15,1,4,1,14,3,1,18.96
101012,CREDIT_CARD,C,12,1,4,1,0,1,4,17,2,5,2,14,5,1,13.91
101033,REMITTANCE,K,10,0,3,1,1,0,1,6,2,2,1,12,1,0,3.35
101045,REMITTANCE,K,10,1,3,1,0,1,2,14,1,6,1,9,3,1,20.5
101033,ONLINE_SUP,J,12,1,6,1,0,1,3,29,2,6,1,15,5,1,41.61
101045,DEPOSIT,A,6,1,3,1,0,1,2,20,5,6,3,14,4,1,15.82
101045,DEPOSIT,A,6,0,1,1,1,0,2,13,0,4,2,11,3,1,0.0
101078,CREDIT_CARD,C,12,1,4,1,0,1,3,26,7,6,2,11,1,1,60.28
101045,REMITTANCE,K,10,0,3,1,0,1,1,13,1,3,1,9,5,1,21.09
101033,REMITTANCE,K,10,1,11,1,0,1,8,21,16,2,1,9,5,1,90.0
101012,ONLINE_SUP,J,12,0,3,0,0,1,9,20,3,3,1,15,1,1,90.0
101045,CREDIT_CARD,C,12,0,5,0,0,1,1,18,2,3,1,11,1,1,38.57
101012,BIZ_BANK,I,18,1,2,1,0,1,1,1,0,2,1,12,4,0,0.0
101033,FIXED_DEP,G,15,1,7,1,0,1,5,18,4,3,1,15,3,1,90.0
101033,CUST_SVC,E,10,1,5,1,0,1,4,23,5,5,1,10,5,1,61.62
101056,WITHDRAW,A,5,1,2,1,0,1,1,32,2,4,1,9,3,1,26.06
101012,DEPOSIT,A,6,1,2,1,0,1,4,13,6,3,2,12,3,0,24.76
101078,DEPOSIT,A,6,0,4,0,0,1,1,12,1,4,2,13,5,0,5.69
101045,REMITTANCE,K,10,0,1,1,0,1,3,13,3,5,1,11,2,1,22.29
101078,DEPOSIT,A,6,1,1,1,0,1,1,17,3,3,2,16,5,1,13.44
101033,LOAN,B,30,1,6,1,0,1,3,3,0,2,1,13,4,0,0.0
101056,CUST_SVC,E,10,1,5,1,0,1,3,6,0,2,1,13,3,0,0.0
101045,FIXED_DEP,G,15,1,5,1,0,1,1,5,1,2,1,12,5,0,12.35
101056,DEPOSIT,A,6,1,12,1,0,1,8,30,2,3,1,10,5,1,54.7
101033,INSURANCE,H,20,0,1,1,0,1,2,8,2,2,1,13,1,0,56.34
101033,CUST_SVC,E,10,1,9,1,0,1,5,14,7,4,1,14,1,1,90.0
101045,CUST_SVC,E,10,1,1,1,0,1,1,7,2,4,2,12,2,0,14.01
101078,CUST_SVC,E,10,1,4,1,0,1,2,19,4,3,1,16,5,1,40.96
101078,INSURANCE,H,20,1,4,1,0,1,4,13,7,4,1,10,2,1,90.0
101012,WITHDRAW,A,5,1,1,1,0,1,2,12,0,3,2,11,4,1,0.86
101033,DEPOSIT,A,6,1,4,1,0,1,1,7,1,2,2,15,1,1,22.13
